STNNBR,CSTNO,POS,BTLSER,F,TIME,CTDPRS,CTDDEP,CTDTMP,CTDSAL,THETA,SIGTHT,DOSTTMP,F_1,CTDOXY,F_2,SALNTY,F_3,OXYGEN,F_4,PHSPHT,F_5,NO2+NO3,F_6,NITRIT,F_7,SILCAT,F_8,PH,F_9,PH_TMP,PH_SCL,CHLORA,F_10,PPHYTN,F_11,TCARBN,F_12,ALKALI,F_13
Unnamed: 0,     ,   ,         , , JST,     DBAR,METERS,   ITS-90,   PSS-78,   ITS-90.1,    KG/M3,   ITS-90.2, .1,  UMOL/KG, .2,   PSS-78.1, .3,  UMOL/KG.1, .4,  UMOL/KG.2, .5,  UMOL/KG.3, .6,  UMOL/KG.4, .7,  UMOL/KG.5, .8,         .1, .9, ITS-90,      ,     UG/L, .10,     UG/L.1, .11,  UMOL/KG.6, .12,  UMOL/KG.7,Unnamed: 39
 KS-5634,1,36, 02-25256,3,2000,9.3,9.0,28.3624,34.4513,28.3602,21.8641,28.3668,2,199.3,2,34.4513,2,198.98,6,0.02,6,0.0,3,0.0,6,1.33,6,,2,,,0.08,2,0.03,,,,,
 KS-5634,1,34, 02-24269,2,1958,19.8,20.0,28.299,34.4393,28.2943,21.8768,28.2993,2,199.2,2,-999.0,9,199.43,2,0.02,2,0.0,3,0.0,2,1.37,2,,2,,,0.1,2,0.04,,,,,
 KS-5634,1,35, 02-25820,2,1958,19.9,20.0,28.3258,34.4426,28.3211,21.8704,28.3236,2,199.2,2,-999.0,9,199.44,2,0.02,2,0.0,3,0.0,2,1.35,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5634,1,30, 02-24267,2,1957,29.4,29.0,28.2237,34.4375,28.2167,21.9009,28.2215,2,199.4,2,34.4418,2,200.21,2,0.02,2,0.02,3,0.0,2,1.37,2,,2,,,0.09,2,0.03,,,,,
 KS-5634,1,29, 02-25817,2,1953,49.4,49.0,27.605,34.552,27.5935,22.1898,27.6046,2,203.6,2,-999.0,9,203.17,2,0.02,2,0.03,3,0.0,2,1.46,2,,2,,,0.18,2,0.12,,,,,
 KS-5634,1,28, 02-25825,2,1952,75.3,75.0,25.9705,34.7244,25.9538,22.8398,25.9755,2,202.4,2,-999.0,9,201.41,2,0.04,2,0.1,3,0.08,2,1.4,2,,2,,,0.4,2,0.45,,,,,
 KS-5634,1,27, 02-25242,2,1951,101.5,101.0,24.2574,34.838,24.2359,23.4487,24.2541,2,194.4,2,34.8284,4,194.52,2,0.09,2,0.89,3,0.16,2,1.8,2,,2,,,0.11,2,0.22,,,,,
 KS-5634,1,26, 02-25824,2,1949,122.5,122.0,23.134,34.8722,23.1089,23.8052,23.1394,2,190.8,2,-999.0,9,190.1,2,0.14,2,1.61,3,0.08,2,2.35,2,,2,,,0.06,2,0.15,,,,,
 KS-5634,1,25, 02-24271,2,1948,154.7,154.0,22.2248,34.891,22.194,24.0806,22.2257,2,188.2,2,-999.0,9,188.18,2,0.19,2,2.19,3,0.05,2,2.82,2,,2,,,0.04,2,0.1,,,,,
 KS-5634,1,21, 02-25245,2,1945,203.6,202.0,19.8839,34.8877,19.8464,24.7164,19.8638,2,188.6,2,34.8874,2,188.48,2,0.27,2,3.54,3,0.01,2,3.5,2,,2,,,0.01,2,0.03,,,,,
 KS-5634,1,20, 02-25813,2,1943,252.4,251.0,17.7871,34.7884,17.7441,25.1727,17.7877,2,190.2,2,-999.0,9,189.57,2,0.41,2,5.77,3,0.01,2,5.62,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5634,1,19, 02-25239,2,1941,303.4,301.0,16.0679,34.6637,16.0197,25.4844,16.0652,2,185.7,2,-999.0,9,185.51,2,0.6,2,8.49,3,0.01,2,9.2,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5634,1,15, 02-24470,2,1939,398.8,396.0,12.6076,34.4215,12.5538,26.0329,12.6168,2,163.4,2,34.4236,2,160.56,2,1.17,2,16.29,3,0.0,2,22.64,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5634,1,14, 02-25821,2,1936,501.0,497.0,9.0724,34.279,9.0172,26.5508,9.0724,2,124.7,2,-999.0,9,124.32,2,1.85,2,25.62,3,0.0,2,45.07,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5634,1,13, 02-25243,2,1933,604.0,599.0,7.1999,34.3016,7.1414,26.849,7.1998,2,102.6,2,34.3007,2,102.66,2,2.22,2,30.77,3,0.0,2,68.31,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5634,1,9, 02-25249,2,1930,705.6,700.0,6.0502,34.3376,5.9874,27.0308,6.0505,2,89.4,2,34.3373,2,89.15,6,2.44,6,33.68,3,0.0,6,85.3,6,,9,,,-999.0,9,-999.0,,,,,
 KS-5634,1,8, 02-24272,2,1927,807.2,800.0,5.3423,34.3635,5.2742,27.1386,5.3428,2,82.5,2,34.3639,6,82.1,2,2.56,2,35.3,3,0.01,2,96.43,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5634,1,7, 02-23518,2,1924,910.2,902.0,5.0242,34.3806,4.949,27.19,5.0232,2,79.4,2,34.3799,2,79.43,2,2.62,2,36.02,3,0.01,2,101.56,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5634,1,2, 02-25238,2,1922,960.9,952.0,4.9041,34.3872,4.8252,27.2094,4.904,2,78.2,2,34.3871,2,78.47,2,2.63,2,36.18,3,0.01,2,103.82,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5634,1,3, 02-25235,2,1922,964.3,956.0,4.8989,34.3875,4.8197,27.2102,4.8984,2,78.1,2,34.3875,2,77.96,2,2.64,2,36.2,3,0.01,2,103.93,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5636,1,-9,       -9,0,2345,0.0,9.0,26.8976,33.9647,26.897,21.9709,-999.0,9,202.9,2,-999.0,9,203.26,2,0.01,2,0.0,3,0.01,2,1.25,2,,2,,,0.1,2,0.04,,,,,
 KS-5636,1,35, 02-25820,2,9,9.4,9.0,26.9035,33.9653,26.9014,21.97,26.9043,2,202.8,2,33.9664,2,202.98,2,0.0,2,0.0,3,0.0,2,1.22,2,,2,,,0.09,2,0.04,,,,,
 KS-5636,1,36, 02-25256,2,10,9.5,9.0,26.9019,33.9654,26.8997,21.9705,26.9022,2,202.8,2,33.9664,2,202.94,2,0.0,2,0.0,3,0.0,2,1.26,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5636,1,34, 02-24269,2,9,19.3,19.0,26.8498,33.9826,26.8454,22.0007,26.8499,2,202.7,2,33.9827,2,203.35,2,0.0,2,0.0,3,0.0,2,1.26,2,,2,,,0.09,2,0.04,,,,,
 KS-5636,1,32, 02-25246,2,8,29.7,30.0,26.8311,33.9996,26.8244,22.0202,26.8315,2,202.6,2,-999.0,9,203.08,2,0.0,2,0.0,3,0.0,2,1.27,2,,2,,,0.09,2,0.05,,,,,
 KS-5636,1,31, 02-25810,2,3,54.2,54.0,26.2163,34.597,26.2042,22.6656,26.2106,2,205.7,2,-999.0,9,204.8,2,0.01,2,0.0,3,0.0,2,1.31,2,,2,,,0.15,2,0.09,,,,,
 KS-5636,1,27, 02-25242,2,2,74.4,74.0,25.5333,34.6551,25.5169,22.9226,25.5341,2,207.4,2,34.6552,2,206.58,2,0.01,2,0.0,3,0.0,2,1.31,2,,2,,,0.2,2,0.18,,,,,
 KS-5636,1,26, 02-25824,2,0,104.7,104.0,24.2697,34.8131,24.2475,23.4264,24.2928,2,196.9,2,-999.0,9,196.92,2,0.06,2,0.53,3,0.18,2,1.56,2,,2,,,0.3,2,0.37,,,,,
 KS-5636,1,25, 02-24271,2,2359,123.7,123.0,23.0416,34.8421,23.0163,23.8091,23.0498,2,196.1,2,-999.0,9,195.28,2,0.1,2,1.03,3,0.04,2,1.8,2,,2,,,0.07,2,0.14,,,,,
 KS-5636,1,21, 02-25245,2,2357,148.6,148.0,22.0924,34.8643,22.0629,24.0971,22.0883,2,193.4,2,34.8633,2,193.19,6,0.14,6,1.7,3,0.03,6,2.17,6,,2,,,0.04,2,0.08,,,,,
 KS-5636,1,20, 02-25813,2,2355,201.8,200.0,19.8468,34.8738,19.8097,24.7155,19.8447,2,190.1,2,-999.0,9,189.3,2,0.26,2,3.52,3,0.01,2,3.41,2,,2,,,0.01,2,0.02,,,,,
 KS-5636,1,19, 02-25239,2,2353,251.8,250.0,18.5003,34.8409,18.4562,25.0369,18.4998,2,191.4,2,-999.0,9,190.99,2,0.33,2,4.7,3,0.01,2,4.24,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5636,1,18, 02-25814,2,2352,300.4,298.0,17.0524,34.7428,17.0027,25.3162,17.0515,2,191.3,2,34.7399,6,190.66,2,0.46,2,6.64,3,0.0,2,6.58,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5636,1,17, 02-24268,2,2348,403.1,400.0,13.7623,34.4872,13.7046,25.8523,13.7621,2,175.1,2,-999.0,9,174.28,2,0.91,2,12.82,3,0.0,2,15.67,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5636,1,16, 02-24474,2,2345,503.4,499.0,10.8831,34.3388,10.8211,26.2927,10.8825,2,145.1,2,-999.0,9,145.02,2,1.48,2,20.32,3,0.0,2,31.5,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5636,1,12, 02-25244,2,2342,608.5,604.0,8.3337,34.3228,8.2696,26.7015,8.3308,2,113.7,2,-999.0,9,114.17,2,2.0,2,27.51,3,0.0,2,57.61,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5636,1,11, 02-25819,3,2339,706.1,700.0,6.5867,34.3214,6.521,26.949,6.5845,2,94.8,2,34.3216,2,94.68,6,2.34,6,32.13,3,0.0,6,77.29,6,,9,,,-999.0,9,-999.0,,,,,
 KS-5636,1,10, 02-25237,2,2337,806.8,800.0,5.5421,34.3521,5.4728,27.1059,5.5424,2,84.0,2,34.3524,2,83.88,2,2.54,2,34.73,3,0.0,2,92.58,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5636,1,6, 02-24471,3,2334,908.4,900.0,4.7958,34.3802,4.7223,27.2154,4.796,2,77.7,2,34.3802,2,77.61,2,2.66,2,36.51,3,0.0,2,103.7,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5636,1,4, 02-23679,2,2331,1025.1,1016.0,4.4876,34.4058,4.4062,27.2705,4.4867,2,75.9,2,34.4065,2,75.71,2,2.7,2,37.1,3,0.0,2,109.9,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5636,1,5, 02-23515,3,2331,1025.4,1016.0,4.4798,34.4066,4.3984,27.2719,4.4797,2,75.9,2,34.4065,2,75.65,2,2.7,2,37.08,3,0.0,2,110.2,2,,9,,,-999.0,9,-999.0,,,,,
 KS-5639,1,-9,       -9,0,705,0.0,10.0,25.8467,34.0588,25.8462,22.3711,-999.0,9,206.2,2,34.0934,2,206.45,2,0.02,2,0.0,3,0.0,2,1.33,2,8.0859,2,25,    TS,0.11,2,0.04,2,1934.8,2,2241.3,2
 KS-5639,1,36, 02-25256,2,728,10.0,10.0,25.8454,34.0826,25.8432,22.39,25.8465,2,206.3,2,34.0815,2,206.19,2,0.0,2,0.0,3,0.0,2,1.32,2,-999.0,9,-999,  -999,0.11,2,0.03,2,-999.0,9,-999.0,9
 KS-5639,1,35, 02-25820,2,728,19.8,20.0,25.3554,34.3349,25.3511,22.7318,25.3567,2,209.0,2,-999.0,9,209.55,2,0.0,2,0.02,3,0.0,2,1.38,2,-999.0,9,-999,  -999,0.11,2,0.04,2,-999.0,9,-999.0,9
 KS-5639,1,34, 02-24269,2,726,31.3,31.0,25.0208,34.5808,25.014,23.0202,25.0219,2,210.0,2,-999.0,9,210.08,2,0.01,2,0.0,3,0.0,2,1.46,2,-999.0,9,-999,  -999,0.12,2,0.06,2,-999.0,9,-999.0,9
 KS-5639,1,30, 02-24267,2,723,47.4,47.0,24.4214,34.6738,24.4114,23.2721,24.4221,2,211.5,2,34.6743,2,211.23,2,0.01,2,0.04,3,0.0,2,1.5,2,-999.0,9,-999,  -999,0.18,2,0.12,2,-999.0,9,-999.0,9
 KS-5639,1,29, 02-25817,2,721,75.9,75.0,23.1861,34.786,23.1705,23.7221,23.1985,2,207.3,2,-999.0,9,207.43,2,0.05,2,0.61,3,0.18,2,1.71,2,-999.0,9,-999,  -999,0.38,2,0.34,2,-999.0,9,-999.0,9
 KS-5639,1,28, 02-25825,2,720,104.5,104.0,22.2684,34.8357,22.2475,24.0234,22.2647,2,209.0,2,-999.0,9,208.84,2,0.05,2,0.58,3,0.17,2,1.67,2,-999.0,9,-999,  -999,0.12,2,0.2,2,-999.0,9,-999.0,9
 KS-5639,1,24, 02-25818,2,718,125.7,125.0,21.9171,34.8597,21.8923,24.1413,21.9173,2,200.0,2,34.8584,6,200.58,2,0.1,2,1.18,3,0.07,2,1.97,2,-999.0,9,-999,  -999,0.07,2,0.17,2,-999.0,9,-999.0,9
 KS-5639,1,23, 02-25816,2,716,150.4,149.0,21.2268,34.8698,21.1978,24.3409,21.2275,2,199.6,2,-999.0,9,199.87,2,0.12,2,1.5,3,0.06,2,2.22,2,-999.0,9,-999,  -999,0.05,2,0.12,2,-999.0,9,-999.0,9
 KS-5639,1,22, 02-25812,2,714,201.7,200.0,19.7739,34.8786,19.7369,24.7382,19.7748,2,192.1,2,-999.0,9,192.34,6,0.23,6,3.27,3,0.01,6,3.22,6,-999.0,9,-999,  -999,0.01,2,0.02,2,-999.0,9,-999.0,9
 KS-5639,1,17, 02-24268,2,712,251.0,249.0,18.6737,34.8382,18.6295,24.9913,18.6752,2,191.4,2,34.837,2,191.63,2,0.32,2,4.31,3,0.01,2,4.32,2,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 KS-5639,1,18, 02-25814,2,712,253.8,252.0,18.5731,34.834,18.5285,25.0135,18.5708,2,191.8,2,34.837,2,191.66,2,0.32,2,4.27,3,0.01,2,4.3,2,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
 KS-5639,1,16, 02-24474,2,710,305.5,303.0,17.5494,34.7753,17.4978,25.2225,17.5497,2,191.5,2,-999.0,9,191.63,2,0.41,2,5.67,3,0.01,2,5.75,2,-999.0,9,-999,  -999,-999.0,9,-999.0,9,-999.0,9,-999.0,9
